NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2015;11;RO;1100205;Porto Velho;11000058;CENTRO DE ENSINO CLASSE A;4;1;137;0;130;94,89;591,64;652,34;604,53;627,66;732,00;NA;NA;Grupo 6;67,5;78,46;96,1;3,9;0,0;Maior que 90 alunos
2015;11;RO;1100205;Porto Velho;11000171;CENTRO EDUCACIONAL MOJUCA;4;1;20;1;17;85,00;458,46;533,51;472,62;459,72;507,82;NA;NA;Grupo 4;58,3;70,59;94,6;5,4;0,0;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11000198;CENTRO EDUCACIONAL OBJETIVO;4;1;39;0;37;94,87;529,05;583,87;547,11;507,22;652,43;NA;NA;Grupo 5;67,7;40,54;90,1;9,9;0,0;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11000244;COLEGIO DOM BOSCO;4;1;55;1;49;89,09;508,74;586,45;531,35;529,87;591,84;NA;NA;Grupo 5;56,0;81,63;88,7;10,5;0,8;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11000252;CENTRO EDUCACIONAL OBJETIVO - UNIDADE JARDIM AMERICA;4;1;26;0;23;88,46;523,38;591,66;563,45;528,93;583,48;NA;NA;Grupo 5;72,7;52,17;84,5;13,1;2,4;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11000260;COLEGIO TIRADENTES DA POLICIA MILITAR DO ESTADO DE RONDONIA EEEFM TIRADENTES;2;1;97;0;96;98,97;505,77;582,16;527,39;492,85;580,83;NA;NA;Grupo 5;53,6;85,42;89,2;10,8;0,0;Maior que 90 alunos
2015;11;RO;1100205;Porto Velho;11000317;EEEFM JOSE OTINO DE FREITAS;2;1;44;0;38;86,36;484,43;540,06;489,87;456,92;543,68;NA;NA;Grupo 4;73,9;63,16;73,9;22,2;3,9;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11000350;COLEGIO ADVENTISTA DE PORTO VELHO;4;1;34;0;29;85,29;480,60;591,92;532,11;486,22;602,07;NA;NA;Grupo 4;46,2;58,62;88,7;9,9;1,4;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11000384;EEEFM 4 DE JANEIRO;2;1;75;1;59;78,67;450,47;517,74;469,17;417,62;518,64;NA;NA;Grupo 3;62,9;64,41;54,9;44,8;0,3;De 61 a 90 alunos
2015;11;RO;1100205;Porto Velho;11000457;EEEFM PROFESSORA ANTONIA VIEIRA FROTA;2;2;41;0;22;53,66;443,09;483,86;452,40;429,04;415,45;NA;NA;Grupo 3;34,6;72,73;75,5;6,5;18,0;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11000597;EEEFM BELA VISTA;2;1;24;0;21;87,50;468,48;544,43;458,62;411,69;530,48;NA;NA;Grupo 3;63,3;76,19;64,9;35,1;0,0;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11000678;EEEFM BRASILIA;2;1;33;0;24;72,73;472,76;534,78;490,27;446,60;535,83;NA;NA;Grupo 4;48,3;79,17;81,6;11,4;7,0;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11000708;EEEFM CAP CLAUDIO MANOEL DA COSTA;2;1;28;0;19;67,86;459,87;535,76;482,23;428,72;547,37;NA;NA;Grupo 3;74,4;78,95;70,8;15,6;13,6;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11000856;EEEFM PROFESSOR DANIEL NERI DA SILVA;2;1;72;0;57;79,17;452,59;528,72;469,43;438,82;502,46;NA;NA;Grupo 3;68,3;78,95;78,7;18,8;2,5;De 61 a 90 alunos
2015;11;RO;1100205;Porto Velho;11000880;CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO;4;1;61;0;55;90,16;493,02;584,24;525,74;496,47;625,82;NA;NA;Grupo 4;62,7;89,09;92,0;7,7;0,3;De 61 a 90 alunos
2015;11;RO;1100205;Porto Velho;11000937;EEEFM DR OSVALDO PIANA;2;1;30;0;18;60,00;426,87;526,51;489,06;427,48;511,11;NA;NA;Grupo 3;66,7;100,00;79,3;5,3;15,4;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11001046;EEEFM ESTUDO E TRABALHO;2;1;106;0;57;53,77;448,51;538,48;484,67;436,36;512,28;NA;NA;Grupo 3;50,8;57,89;61,8;20,8;17,4;Maior que 90 alunos
2015;11;RO;1100205;Porto Velho;11001119;EEEFM GOV ARAUJO LIMA;2;1;27;0;24;88,89;443,52;539,70;490,61;423,70;516,67;NA;NA;Grupo 4;61,7;58,33;73,7;22,8;3,5;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11001135;EEEFM GOV PETRONIO BARCELOS;2;1;31;2;30;96,77;470,84;539,21;491,01;464,22;496,00;NA;NA;Grupo 4;61,5;76,67;72,3;27,7;0,0;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11001283;EEEFM JOHN KENNEDY;2;1;28;0;25;89,29;478,66;547,20;503,59;455,35;552,00;NA;NA;Grupo 4;75,5;44,00;59,9;39,0;1,1;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11001305;EEEFM JORGE TEIXEIRA DE OLIVEIRA;2;1;31;0;17;54,84;434,98;554,05;461,81;424,42;508,24;NA;NA;Grupo 3;64,1;82,35;55,2;24,1;20,7;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11001640;EEEFM MURILO BRAGA;2;1;35;0;27;77,14;442,74;517,14;467,03;418,15;528,89;NA;NA;Grupo 4;60,3;37,04;85,4;5,0;9,6;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11002018;EEEFM PROF FLORA CALHEIROS COTRIN;2;1;87;0;57;65,52;447,91;526,89;465,87;409,78;486,32;NA;NA;Grupo 3;58,0;89,47;62,9;14,7;22,4;De 61 a 90 alunos
2015;11;RO;1100205;Porto Velho;11002123;EEEFM RISOLETA NEVES;2;1;95;0;70;73,68;443,22;523,88;477,60;428,41;522,00;NA;NA;Grupo 3;63,8;55,71;58,5;18,7;22,8;Maior que 90 alunos
2015;11;RO;1100205;Porto Velho;11002255;E E E F M SAO LUIZ;2;1;23;4;20;86,96;463,45;527,79;481,08;414,95;515,00;NA;NA;Grupo 3;46,2;65,00;49,4;49,0;1,6;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11002468;EEEFM BARAO DO SOLIMOES;2;1;41;1;38;92,68;474,17;567,15;525,42;477,28;580,00;NA;NA;Grupo 4;34,3;71,05;82,8;17,2;0,0;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11002484;EEEM MAJOR GUAPINDAIA;2;1;274;0;223;81,39;466,01;548,57;502,44;445,54;554,80;NA;NA;Grupo 3;65,5;39,46;74,4;16,0;9,6;Maior que 90 alunos
2015;11;RO;1100205;Porto Velho;11002506;EEEFM MARECHAL CASTELO BRANCO;2;1;67;0;62;92,54;463,75;564,11;504,10;458,63;562,90;NA;NA;Grupo 4;61,7;70,97;55,6;24,0;20,4;De 61 a 90 alunos
2015;11;RO;1100205;Porto Velho;11002514;EEEFM PROF ORLANDO FREIRE;2;1;81;0;54;66,67;443,49;535,96;481,31;439,32;530,37;NA;NA;Grupo 3;62,6;68,52;66,1;17,5;16,4;De 61 a 90 alunos
2015;11;RO;1100205;Porto Velho;11002522;EEEFM PROF EDUARDO LIMA E SILVA;2;1;97;0;63;64,95;452,51;517,53;464,80;425,70;506,98;NA;NA;Grupo 3;51,5;66,67;63,6;19,7;16,7;Maior que 90 alunos
2015;11;RO;1100205;Porto Velho;11002549;EEEFM RIO BRANCO;2;1;41;0;35;85,37;454,46;532,06;491,50;425,21;533,14;NA;NA;Grupo 4;65,9;60,00;39,5;60,2;0,3;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11003065;IEE CARMELA DUTRA;2;1;289;3;243;84,08;462,29;546,49;495,29;446,17;552,67;NA;NA;Grupo 4;50,6;48,97;86,4;4,4;9,2;Maior que 90 alunos
2015;11;RO;1100205;Porto Velho;11003081;INSTITUTO LAURA VICUNA;4;1;24;0;24;100,00;500,34;589,95;545,20;489,52;595,00;NA;NA;Grupo 5;52,9;79,17;92,6;7,4;0,0;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11003090;INSTITUTO MARIA AUXILIADORA;4;1;23;0;22;95,65;454,62;555,10;516,42;445,70;592,73;NA;NA;Grupo 4;60,5;77,27;91,6;8,4;0,0;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11003413;EEEFM GENERAL OSORIO;2;2;39;0;20;51,28;427,30;495,80;448,83;385,17;439,00;NA;NA;Grupo 2;40,0;90,00;80,9;6,9;12,2;De 31 a 60 alunos
