NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2015;11;RO;1100205;Porto Velho;11000171;CENTRO EDUCACIONAL MOJUCA;Privada;Urbana;20;1;17;85,00;458,46;533,51;472,62;459,72;507,82;NA;NA;Grupo 4;58,3;70,59;94,6;5,4;0,0;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11000198;CENTRO EDUCACIONAL OBJETIVO;Privada;Urbana;39;0;37;94,87;529,05;583,87;547,11;507,22;652,43;NA;NA;Grupo 5;67,7;40,54;90,1;9,9;0,0;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11000252;CENTRO EDUCACIONAL OBJETIVO - UNIDADE JARDIM AMERICA;Privada;Urbana;26;0;23;88,46;523,38;591,66;563,45;528,93;583,48;NA;NA;Grupo 5;72,7;52,17;84,5;13,1;2,4;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11000384;EEEFM 4 DE JANEIRO;Estadual;Urbana;75;1;59;78,67;450,47;517,74;469,17;417,62;518,64;NA;NA;Grupo 3;62,9;64,41;54,9;44,8;0,3;De 61 a 90 alunos
2015;11;RO;1100205;Porto Velho;11001283;EEEFM JOHN KENNEDY;Estadual;Urbana;28;0;25;89,29;478,66;547,20;503,59;455,35;552,00;NA;NA;Grupo 4;75,5;44,00;59,9;39,0;1,1;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11001640;EEEFM MURILO BRAGA;Estadual;Urbana;35;0;27;77,14;442,74;517,14;467,03;418,15;528,89;NA;NA;Grupo 4;60,3;37,04;85,4;5,0;9,6;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11002506;EEEFM MARECHAL CASTELO BRANCO;Estadual;Urbana;67;0;62;92,54;463,75;564,11;504,10;458,63;562,90;NA;NA;Grupo 4;61,7;70,97;55,6;24,0;20,4;De 61 a 90 alunos
2015;11;RO;1100205;Porto Velho;11003081;INSTITUTO LAURA VICUNA;Privada;Urbana;24;0;24;100,00;500,34;589,95;545,20;489,52;595,00;NA;NA;Grupo 5;52,9;79,17;92,6;7,4;0,0;De 1 a 30 alunos
2015;11;RO;1100080;Costa Marques;11005823;EEEFM ANGELINA DOS ANJOS;Estadual;Urbana;81;0;45;55,56;434,48;505,28;436,88;399,34;473,78;NA;NA;Grupo 2;44,9;82,22;77,5;10,1;12,4;De 61 a 90 alunos
2015;11;RO;1100023;Ariquemes;11007885;EEEFM HEITOR VILLA LOBOS;Estadual;Urbana;259;2;211;81,47;475,49;554,20;496,25;459,81;534,98;NA;NA;Grupo 3;63,3;70,14;73,7;18,6;7,7;Maior que 90 alunos
