SG_UF_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA;TAXA_PART_CAT
RO;11000058;CENTRO DE ENSINO CLASSE A;Privada;Urbana;137;0;130;94,89;591,64;652,34;604,53;627,66;732,00;Grupo 6;67,5000000000000;78,46;3,90000000000000;0,00000000000000;Maior que 90 alunos;alta
RO;11000244;COLEGIO DOM BOSCO;Privada;Urbana;55;1;49;89,09;508,74;586,45;531,35;529,87;591,84;Grupo 5;56,0000000000000;81,63;10,50000000000000;0,80000000000000;De 31 a 60 alunos;alta
RO;11000260;COLEGIO TIRADENTES DA POLICIA MILITAR DO ESTADO DE RONDONIA EEEFM TIRADENTES;Estadual;Urbana;97;0;96;98,97;505,77;582,16;527,39;492,85;580,83;Grupo 5;53,6000000000000;85,42;10,80000000000000;0,00000000000000;Maior que 90 alunos;alta
RO;11000317;EEEFM JOSE OTINO DE FREITAS;Estadual;Urbana;44;0;38;86,36;484,43;540,06;489,87;456,92;543,68;Grupo 4;73,9000000000000;63,16;22,20000000000000;3,90000000000000;De 31 a 60 alunos;alta
RO;11000350;COLEGIO ADVENTISTA DE PORTO VELHO;Privada;Urbana;34;0;29;85,29;480,60;591,92;532,11;486,22;602,07;Grupo 4;46,2000000000000;58,62;9,90000000000000;1,40000000000000;De 31 a 60 alunos;media
RO;11000457;EEEFM PROFESSORA ANTONIA VIEIRA FROTA;Estadual;Rural;41;0;22;53,66;443,09;483,86;452,40;429,04;415,45;Grupo 3;34,6000000000000;72,73;6,50000000000000;18,00000000000000;De 31 a 60 alunos;baixa
RO;11000597;EEEFM BELA VISTA;Estadual;Urbana;24;0;21;87,50;468,48;544,43;458,62;411,69;530,48;Grupo 3;63,3000000000000;76,19;35,10000000000000;0,00000000000000;De 1 a 30 alunos;alta
RO;11000678;EEEFM BRASILIA;Estadual;Urbana;33;0;24;72,73;472,76;534,78;490,27;446,60;535,83;Grupo 4;48,3000000000000;79,17;11,40000000000000;7,00000000000000;De 31 a 60 alunos;media
RO;11000708;EEEFM CAP CLAUDIO MANOEL DA COSTA;Estadual;Urbana;28;0;19;67,86;459,87;535,76;482,23;428,72;547,37;Grupo 3;74,4000000000000;78,95;15,60000000000000;13,60000000000000;De 1 a 30 alunos;media
RO;11000856;EEEFM PROFESSOR DANIEL NERI DA SILVA;Estadual;Urbana;72;0;57;79,17;452,59;528,72;469,43;438,82;502,46;Grupo 3;68,3000000000000;78,95;18,80000000000000;2,50000000000000;De 61 a 90 alunos;media
RO;11000880;CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO;Privada;Urbana;61;0;55;90,16;493,02;584,24;525,74;496,47;625,82;Grupo 4;62,7000000000000;89,09;7,70000000000000;0,30000000000000;De 61 a 90 alunos;alta
RO;11000937;EEEFM DR OSVALDO PIANA;Estadual;Urbana;30;0;18;60,00;426,87;526,51;489,06;427,48;511,11;Grupo 3;66,7000000000000;100,00;5,30000000000000;15,40000000000000;De 1 a 30 alunos;baixa
RO;11001046;EEEFM ESTUDO E TRABALHO;Estadual;Urbana;106;0;57;53,77;448,51;538,48;484,67;436,36;512,28;Grupo 3;50,8000000000000;57,89;20,80000000000000;17,40000000000000;Maior que 90 alunos;baixa
RO;11001119;EEEFM GOV ARAUJO LIMA;Estadual;Urbana;27;0;24;88,89;443,52;539,70;490,61;423,70;516,67;Grupo 4;61,7000000000000;58,33;22,80000000000000;3,50000000000000;De 1 a 30 alunos;alta
RO;11001135;EEEFM GOV PETRONIO BARCELOS;Estadual;Urbana;31;2;30;96,77;470,84;539,21;491,01;464,22;496,00;Grupo 4;61,5000000000000;76,67;27,70000000000000;0,00000000000000;De 31 a 60 alunos;alta
RO;11001305;EEEFM JORGE TEIXEIRA DE OLIVEIRA;Estadual;Urbana;31;0;17;54,84;434,98;554,05;461,81;424,42;508,24;Grupo 3;64,1000000000000;82,35;24,10000000000000;20,70000000000000;De 31 a 60 alunos;baixa
RO;11002018;EEEFM PROF FLORA CALHEIROS COTRIN;Estadual;Urbana;87;0;57;65,52;447,91;526,89;465,87;409,78;486,32;Grupo 3;58,0000000000000;89,47;14,70000000000000;22,40000000000000;De 61 a 90 alunos;baixa
RO;11002123;EEEFM RISOLETA NEVES;Estadual;Urbana;95;0;70;73,68;443,22;523,88;477,60;428,41;522,00;Grupo 3;63,8000000000000;55,71;18,70000000000000;22,80000000000000;Maior que 90 alunos;media
RO;11002255;E E E F M SAO LUIZ;Estadual;Urbana;23;4;20;86,96;463,45;527,79;481,08;414,95;515,00;Grupo 3;46,2000000000000;65,00;49,00000000000000;1,60000000000000;De 1 a 30 alunos;alta
RO;11002468;EEEFM BARAO DO SOLIMOES;Estadual;Urbana;41;1;38;92,68;474,17;567,15;525,42;477,28;580,00;Grupo 4;34,3000000000000;71,05;17,20000000000000;0,00000000000000;De 31 a 60 alunos;alta
RO;11002484;EEEM MAJOR GUAPINDAIA;Estadual;Urbana;274;0;223;81,39;466,01;548,57;502,44;445,54;554,80;Grupo 3;65,5000000000000;39,46;16,00000000000000;9,60000000000000;Maior que 90 alunos;media
RO;11002514;EEEFM PROF ORLANDO FREIRE;Estadual;Urbana;81;0;54;66,67;443,49;535,96;481,31;439,32;530,37;Grupo 3;62,6000000000000;68,52;17,50000000000000;16,40000000000000;De 61 a 90 alunos;baixa
RO;11002522;EEEFM PROF EDUARDO LIMA E SILVA;Estadual;Urbana;97;0;63;64,95;452,51;517,53;464,80;425,70;506,98;Grupo 3;51,5000000000000;66,67;19,70000000000000;16,70000000000000;Maior que 90 alunos;baixa
RO;11002549;EEEFM RIO BRANCO;Estadual;Urbana;41;0;35;85,37;454,46;532,06;491,50;425,21;533,14;Grupo 4;65,9000000000000;60,00;60,20000000000000;0,30000000000000;De 31 a 60 alunos;media
RO;11003065;IEE CARMELA DUTRA;Estadual;Urbana;289;3;243;84,08;462,29;546,49;495,29;446,17;552,67;Grupo 4;50,6000000000000;48,97;4,40000000000000;9,20000000000000;Maior que 90 alunos;media
RO;11003090;INSTITUTO MARIA AUXILIADORA;Privada;Urbana;23;0;22;95,65;454,62;555,10;516,42;445,70;592,73;Grupo 4;60,5000000000000;77,27;8,40000000000000;0,00000000000000;De 1 a 30 alunos;alta
RO;11003413;EEEFM GENERAL OSORIO;Estadual;Rural;39;0;20;51,28;427,30;495,80;448,83;385,17;439,00;Grupo 2;40,0000000000000;90,00;6,90000000000000;12,20000000000000;De 31 a 60 alunos;baixa
RO;11003979;EEEFM CASIMIRO DE ABREU;Estadual;Urbana;75;0;45;60,00;464,73;530,37;482,51;427,32;494,67;Grupo 3;50,0000000000000;62,22;14,30000000000000;9,20000000000000;De 61 a 90 alunos;baixa
RO;11004274;EEEFM PROFESSOR SALOMAO SILVA;Estadual;Urbana;20;0;15;75,00;471,23;545,93;497,79;441,43;508,00;Grupo 3;46,2000000000000;86,67;16,70000000000000;2,00000000000000;De 1 a 30 alunos;media
RO;11004428;EEEFM BURITI;Estadual;Urbana;149;0;97;65,10;453,91;550,36;476,58;435,30;506,19;Grupo 3;63,5000000000000;78,35;12,80000000000000;0,00000000000000;Maior que 90 alunos;baixa
RO;11005041;E E E F M CARLOS DRUMMOND DE ANDRADE;Estadual;Urbana;116;0;76;65,52;464,37;534,18;485,83;440,66;493,68;Grupo 3;54,8000000000000;78,95;12,10000000000000;20,70000000000000;Maior que 90 alunos;baixa
RO;11005360;EEEFM PAULO FREIRE;Estadual;Urbana;49;0;31;63,27;465,79;555,95;481,85;443,39;501,29;Grupo 3;62,0000000000000;83,87;20,40000000000000;17,50000000000000;De 31 a 60 alunos;baixa
RO;11005939;EEEFM ALKINDAR BRASIL DE AROUCA;Estadual;Urbana;54;0;47;87,04;457,83;528,08;483,44;435,35;499,15;Grupo 3;47,0000000000000;57,45;19,20000000000000;0,00000000000000;De 31 a 60 alunos;alta
RO;11006595;EPEFM TOUFIA TANOUS BOUCHABKI;Privada;Urbana;12;0;12;100,00;497,77;571,22;532,06;507,85;543,33;Grupo 5;52,4000000000000;91,67;7,30000000000000;0,00000000000000;De 1 a 30 alunos;alta
RO;11006617;EEEFM IRMA MARIA CELESTE;Estadual;Urbana;50;0;39;78,00;436,64;544,03;493,95;425,66;482,56;Grupo 3;55,8000000000000;84,62;30,00000000000000;2,20000000000000;De 31 a 60 alunos;media
RO;11006633;EEEFM ROCHA LEAL;Estadual;Urbana;78;1;48;61,54;443,69;518,53;467,97;415,54;488,04;Grupo 3;31,4000000000000;64,58;2,70000000000000;8,10000000000000;De 61 a 90 alunos;baixa
RO;11006641;EEEFM SIMON BOLIVAR;Estadual;Urbana;59;0;51;86,44;455,75;539,42;490,05;421,68;513,73;Grupo 3;56,2000000000000;62,75;15,00000000000000;10,30000000000000;De 31 a 60 alunos;alta
RO;11006684;IEE PAULO SALDANHA;Estadual;Urbana;52;0;48;92,31;442,99;528,02;469,06;427,23;515,42;Grupo 3;40,0000000000000;56,25;8,70000000000000;3,20000000000000;De 31 a 60 alunos;alta
RO;11006706;CENTRO EDUCACIONAL INOVACAO;Privada;Urbana;11;0;10;90,91;464,71;574,88;536,37;464,98;600,00;Grupo 4;30,8000000000000;70,00;0,00000000000000;0,00000000000000;De 1 a 30 alunos;alta
RO;11006773;EEEFM CORA CORALINA;Estadual;Urbana;95;0;52;54,74;459,27;527,68;474,39;427,60;485,38;Grupo 3;55,7000000000000;75,00;32,40000000000000;13,10000000000000;Maior que 90 alunos;baixa
RO;11006889;EEEFM ANISIO TEIXEIRA;Estadual;Urbana;60;0;30;50,00;450,72;529,07;473,84;436,60;462,67;Grupo 3;57,3000000000000;63,33;12,00000000000000;15,20000000000000;De 31 a 60 alunos;baixa
RO;11007656;COLEGIO DINAMICO EDUCACAO BASICA;Privada;Urbana;48;1;39;81,25;538,73;592,70;519,77;590,97;625,13;Grupo 5;65,4000000000000;71,79;4,10000000000000;1,10000000000000;De 31 a 60 alunos;media
RO;11007893;EEEFM RICARDO CANTANHEDE;Estadual;Urbana;367;5;202;55,04;457,17;536,95;470,12;435,18;484,16;Grupo 3;53,5000000000000;85,15;10,70000000000000;10,50000000000000;Maior que 90 alunos;baixa
RO;11009306;EEEFM FRANCISCO MIGNONE;Estadual;Urbana;40;0;29;72,50;445,44;528,73;470,96;421,40;476,55;Grupo 3;51,2000000000000;75,86;13,70000000000000;12,90000000000000;De 31 a 60 alunos;media
RO;11010665;EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA;Estadual;Urbana;138;2;85;61,59;461,76;541,98;475,59;440,33;480,71;Grupo 3;65,6000000000000;84,71;9,00000000000000;5,80000000000000;Maior que 90 alunos;baixa
RO;11011491;EEEFM CAPITAO SILVIO DE FARIAS;Estadual;Urbana;167;2;119;71,26;470,34;551,81;494,94;449,43;497,98;Grupo 3;57,4000000000000;68,91;9,00000000000000;5,60000000000000;Maior que 90 alunos;media
RO;11011661;EEEFM PROF DAYSE MARA DE OLIVEIRA MARTINS;Estadual;Urbana;39;0;25;64,10;487,67;540,42;487,42;445,97;538,40;Grupo 3;49,6000000000000;80,00;18,50000000000000;16,20000000000000;De 31 a 60 alunos;baixa
RO;11012684;EEEFM RAIMUNDO CANTANHEDE;Estadual;Urbana;37;0;24;64,86;464,87;559,80;492,87;448,24;480,00;Grupo 3;54,7000000000000;50,00;19,90000000000000;19,90000000000000;De 31 a 60 alunos;baixa
RO;11013141;CENTRO EDUCACIONAL SAO PAULO - CEDUSP;Privada;Urbana;26;0;19;73,08;500,02;559,35;494,16;485,22;600,00;Grupo 5;76,9000000000000;68,42;1,60000000000000;0,00000000000000;De 1 a 30 alunos;media
RO;11013737;COLEGIO ADVENTISTA DE JI-PARANA;Privada;Urbana;28;0;21;75,00;512,90;595,35;554,06;522,86;578,10;Grupo 5;38,5000000000000;0,00;4,60000000000000;0,00000000000000;De 1 a 30 alunos;media
RO;11014156;EEEFM JANETE CLAIR;Estadual;Urbana;53;0;30;56,60;449,76;535,14;465,84;450,59;501,33;Grupo 3;53,1000000000000;80,00;2,00000000000000;7,00000000000000;De 31 a 60 alunos;baixa
